LEVEL,AREA,YEAR,MONTH,MARKET_SEGMENT,FLIGHT_TYPE,FLIGHT_PHASE,NB_FLIGHTS,NOX_KG,SOX_KG,CO2_KG,DATE
NETWORK,ECAC,2019,2,regional,I,descent,108773,52958.149999999936,8100.220000000046,30392500.000000104,2019-02-01
NETWORK,ECAC,2019,2,regional,A,descent,1982,1395.8200000000004,178.29,668800.0000000002,2019-02-01
NETWORK,ECAC,2019,2,regional,I,climb,108773,133930.04000000007,11674.169999999976,43797200.0000002,2019-02-01
NETWORK,ECAC,2019,2,regional,A,climb,1982,111.12,9.05,33200.0,2019-02-01
NETWORK,ECAC,2019,2,regional,D,climb,1996,3737.980000000001,256.48,962200.0000000006,2019-02-01
NETWORK,ECAC,2019,2,regional,A,taxi-in,1982,205.96,54.05,203799.99999999994,2019-02-01
NETWORK,ECAC,2019,2,regional,I,taxi-in,108773,8036.160000000028,2404.029999999997,9027000.000000047,2019-02-01
NETWORK,ECAC,2019,2,regional,D,taxi-in,1996,0.53,0.52,1900.0,2019-02-01
NETWORK,ECAC,2019,2,regional,I,taxi-out,108773,19315.72000000001,6603.790000000015,24698900.00000005,2019-02-01
NETWORK,ECAC,2019,2,regional,D,taxi-out,1996,552.37,153.86000000000004,575800.0,2019-02-01
NETWORK,ECAC,2019,2,regional,A,taxi-out,1982,13.77,4.26,15099.999999999998,2019-02-01
NETWORK,ECAC,2019,3,business,D,cruise,3643,100491.56000000062,7758.820000000066,29162099.99999983,2019-03-01
NETWORK,ECAC,2019,3,business,I,cruise,41993,226831.6999999868,23540.40000000123,88643300.00000013,2019-03-01
NETWORK,ECAC,2019,3,business,O,cruise,494,14178.590000000013,1135.929999999998,4263300.000000004,2019-03-01
NETWORK,ECAC,2019,3,business,A,cruise,3703,76010.59999999971,6639.130000000104,24950799.999999907,2019-03-01
NETWORK,ECAC,2019,3,business,D,descent,3643,88.49000000000002,17.53999999999999,66200.00000000003,2019-03-01
NETWORK,ECAC,2019,3,business,I,descent,41993,12643.550000000128,2517.589999999919,9531200.000000888,2019-03-01
NETWORK,ECAC,2019,3,business,A,descent,3703,2728.1000000000013,310.81000000000074,1176000.0000000028,2019-03-01
NETWORK,ECAC,2019,3,business,O,descent,494,7.649999999999999,0.9400000000000002,3500.0000000000005,2019-03-01
NETWORK,ECAC,2019,3,business,I,climb,41993,38500.91000000016,3519.2100000000823,13292700.00000082,2019-03-01
NETWORK,ECAC,2019,3,business,D,climb,3643,8248.00000000002,452.2299999999996,1705600.0000000019,2019-03-01
NETWORK,ECAC,2019,3,business,O,climb,494,19.83,1.59,6000.0,2019-03-01
NETWORK,ECAC,2019,3,business,A,climb,3703,159.4699999999999,12.989999999999991,48900.000000000044,2019-03-01
